date,precip_mm,rel_humidity_pct,sun_hours,temp_max_C,temp_min_C,wind_speed
2017-01-01,0.0,34.55555555555556,10.05,25.35,6.550000000000001,0.6
2017-02-01,17.15,48.5,8.2,23.6,8.9,0.7
2017-03-01,46.3,45.77777777777778,8.5,24.85,9.8,0.7
2017-04-01,30.150000000000002,45.111111111111114,8.25,24.15,10.3,0.9
2017-05-01,133.85,62.55555555555556,5.85,22.25,10.850000000000001,0.6
2017-06-01,54.3,60.333333333333336,5.9,25.7,12.4,1.0
2017-07-01,253.7,77.77777777777777,2.8499999999999996,21.799999999999997,12.3,0.5
2017-08-01,285.75,77.22222222222223,3.2,21.35,12.4,0.85
2017-09-01,323.25,75.66666666666667,4.35,22.0,11.95,1.0
2017-10-01,7.75,56.111111111111114,7.45,24.049999999999997,11.2,1.35
2017-11-01,0.0,51.111111111111114,9.15,24.0,9.149999999999999,1.5
2017-12-01,0.0,45.55555555555556,10.0,23.6,6.7,1.45
2018-01-01,0.0,44.75,8.75,24.2,8.600000000000001,0.6
2018-02-01,31.450000000000003,50.333333333333336,7.95,25.6,10.399999999999999,0.6
2018-03-01,19.0,50.77777777777778,6.949999999999999,25.3,11.8,0.6
2018-04-01,103.75,62.0,4.4,24.549999999999997,12.850000000000001,0.5
2018-05-01,79.44999999999999,59.666666666666664,6.4,24.9,12.65,0.6
2018-06-01,198.1,73.88888888888889,3.9499999999999997,22.6,12.2,0.4
2018-07-01,259.0,76.66666666666667,3.55,21.35,11.75,
2018-08-01,318.45000000000005,76.77777777777777,3.15,18.1,13.7,
2018-09-01,51.7,62.0,7.9,23.5,12.0,
2018-10-01,50.15,52.55555555555556,8.0,24.15,10.95,0.6
2018-11-01,10.15,53.44444444444444,8.05,23.9,9.8,0.6
2018-12-01,0.0,52.22222222222222,9.5,24.35,8.95,0.5
2019-01-01,0.0,37.44444444444444,10.25,25.85,8.05,0.6
2019-02-01,4.5,43.111111111111114,9.85,27.0,12.05,0.7
2019-03-01,44.3,46.333333333333336,8.4,27.65,13.3,0.6
2019-04-01,141.9,56.77777777777778,6.2,26.15,13.7,0.5
2019-05-01,95.1,49.22222222222222,8.9,26.4,13.45,0.5
2019-06-01,159.2,70.66666666666667,4.4,23.25,12.8,0.3
2019-07-01,378.2,75.66666666666667,3.2,21.9,12.3,0.4
2019-08-01,278.65,76.0,2.9,21.200000000000003,12.45,0.4
2019-09-01,226.39999999999998,74.75,2.8,21.700000000000003,12.45,0.3
2019-10-01,30.200000000000003,54.0,8.35,24.1,11.1,0.7
2019-11-01,27.650000000000002,56.111111111111114,8.0,24.1,10.95,0.6
2019-12-01,5.5,57.55555555555556,7.8,23.55,9.7,0.5
2020-01-01,1.6,54.142857142857146,8.850000000000001,24.85,10.3,0.6
2020-02-01,2.45,50.25,8.55,26.2,11.850000000000001,0.7
2020-03-01,73.05,51.0,7.6,27.0,13.45,0.6
2020-04-01,115.75,55.666666666666664,7.1,26.25,13.45,
2020-05-01,92.9,57.666666666666664,7.199999999999999,25.4,13.2,
2020-06-01,186.4,67.66666666666667,5.25,23.45,12.05,
2020-07-01,354.2,79.375,2.8,20.700000000000003,12.25,
2020-08-01,324.8,76.44444444444444,3.9,21.25,12.35,
2020-09-01,323.2,71.11111111111111,4.300000000000001,22.25,12.1,
2020-10-01,39.349999999999994,48.888888888888886,7.95,24.35,10.55,
2020-11-01,0.0,46.5,8.9,24.8,9.149999999999999,
2020-12-01,2.15,47.888888888888886,10.0,24.35,8.2,
2021-01-01,0.0,43.22222222222222,9.3,24.85,8.95,
2021-02-01,36.55,51.22222222222222,8.1,25.1,10.25,
2021-03-01,2.6,36.888888888888886,9.3,27.2,11.15,
2021-04-01,142.35,46.333333333333336,6.7,26.0,12.5,
2021-05-01,84.2,54.0,7.35,25.3,12.4,
2021-06-01,131.0,60.666666666666664,6.45,24.8,12.2,
2021-07-01,277.2,77.5,1.6,20.4,12.3,
2021-08-01,205.2,75.88888888888889,3.6,21.9,12.2,
2021-09-01,211.0,75.22222222222223,4.6,22.25,11.6,
2021-10-01,29.85,55.0,7.85,23.799999999999997,11.05,
2021-11-01,0.4,47.0,9.5,24.35,9.45,
2021-12-01,0.0,47.44444444444444,10.15,24.7,8.75,
2022-01-01,4.25,51.44444444444444,8.95,24.85,9.75,
2022-02-01,0.0,45.111111111111114,9.8,25.950000000000003,10.45,
2022-03-01,38.6,46.44444444444444,8.8,26.05,11.55,
2022-04-01,30.95,50.77777777777778,7.9,26.35,12.95,
2022-05-01,0.0,43.666666666666664,9.2,27.7,13.100000000000001,
2022-06-01,203.2,68.44444444444444,4.7,23.8,12.3,
2022-07-01,429.7,81.22222222222223,1.9,21.0,12.6,
2022-08-01,298.55,77.33333333333333,2.9,20.8,12.3,
2022-09-01,127.75,71.66666666666667,4.2,22.0,12.0,
2022-10-01,39.5,58.44444444444444,7.3,22.95,10.55,
2022-11-01,5.9,50.22222222222222,9.5,23.5,8.95,
2022-12-01,0.0,50.888888888888886,8.7,23.45,9.4,
2023-01-01,1.85,45.0,10.0,24.05,8.5,
2023-02-01,2.0,39.55555555555556,9.45,25.6,9.6,
2023-03-01,187.1,63.55555555555556,5.1,23.6,11.899999999999999,
2023-04-01,172.6,60.5,6.3,24.200000000000003,12.45,
2023-05-01,187.85,73.11111111111111,5.4,23.65,12.7,
2023-06-01,139.95,68.55555555555556,5.7,23.5,12.85,
2023-07-01,276.85,78.11111111111111,3.5,22.049999999999997,12.95,
2023-08-01,262.15,73.77777777777777,4.65,22.35,12.85,
2023-09-01,224.05,71.55555555555556,4.8,22.85,12.5,
2023-10-01,5.300000000000001,51.666666666666664,8.0,24.75,12.45,
2023-11-01,6.9,54.0,8.85,24.200000000000003,11.0,
2023-12-01,0.0,50.333333333333336,9.350000000000001,24.45,10.3,
2024-01-01,1.0,52.666666666666664,9.05,25.0,11.3,
2024-02-01,95.30000000000001,54.44444444444444,7.699999999999999,25.700000000000003,12.9,
2024-03-01,73.44999999999999,55.77777777777778,7.3,25.65,13.75,
2024-04-01,145.3,64.0,5.65,25.1,13.9,
2024-05-01,41.650000000000006,55.666666666666664,7.6,26.549999999999997,14.05,
2024-06-01,119.80000000000001,65.0,5.5,24.75,13.45,
2024-07-01,207.05,76.22222222222223,3.15,22.1,13.45,
2024-08-01,246.10000000000002,79.22222222222223,2.4,21.200000000000003,13.3,
2024-09-01,177.8,70.88888888888889,4.85,22.75,12.6,
2024-10-01,65.15,63.888888888888886,5.800000000000001,23.299999999999997,12.7,
2024-11-01,4.05,54.888888888888886,9.25,23.85,10.100000000000001,
2024-12-01,0.0,46.666666666666664,10.1,24.15,8.75,
2025-01-01,1.15,48.333333333333336,9.5,24.6,9.5,
2025-02-01,0.0,41.55555555555556,10.35,26.7,11.2,
2025-03-01,75.45,53.888888888888886,7.5,26.15,13.05,
2025-04-01,44.85,46.22222222222222,8.5,26.700000000000003,13.05,
2025-05-01,119.7,57.55555555555556,7.3,25.9,13.55,
2025-06-01,116.05,64.77777777777777,6.800000000000001,24.65,12.5,
2025-07-01,262.79999999999995,80.33333333333333,3.3,21.75,12.600000000000001,
2025-08-01,291.2,80.0,2.7,21.8,12.5,
2025-09-01,281.6,79.0,3.8,22.3,11.8,
2025-10-01,26.5,65.0,6.6,23.8,11.0,
2025-11-01,0.0,56.5,9.9,24.9,9.2,
2025-12-01,1.6,60.75,7.3,24.7,10.5,
2026-01-01,0.0,56.25,9.9,25.5,9.3,
2026-02-01,0.0,50.25,9.7,27.1,11.9,
2026-03-01,159.8,65.5,5.6,25.7,12.7,
2026-04-01,65.0,48.75,8.3,27.3,12.8,
2026-05-01,114.4,56.0,5.0,27.2,13.7,
