Name,Elevation,Geogr1,Geogr2,ELEMENT,Year,Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Addis Ababa,2354,38.79871,8.981081,PRECIP,2017,9:00,0,13.6,56,26.6,103.5,44.1,217,241.7,260.5,5.3,0,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2018,9:00,0,30.8,,145.7,87.1,198.1,259,352.8,53.5,51.5,5.2,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2019,9:00,0,0,51.9,109,72.4,,417,352.3,230.7,10.2,35.2,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2020,9:00,3.2,3.5,79.5,97.7,,186.4,354.2,,403.7,27.4,0,1.8
Addis Ababa,2354,38.79871,8.981081,PRECIP,2021,9:00,0,31.3,0,159.9,,,,,,29,0.8,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2022,9:00,0,0,31.1,29.9,0,,,301.3,150.9,36.1,7.5,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2023,9:00,1.5,1.8,184,188.5,134.7,138.3,267.4,239.3,219.7,4.2,10,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2024,9:00,0,109.9,70.6,170.5,31.1,138.3,208.7,192.6,166.7,64,3.4,0
Addis Ababa,2354,38.79871,8.981081,PRECIP,2025,9:00,0,0,48.6,24.7,,88.4,270.9,,,,,
Addis Ababa,2354,38.79871,8.981081,RELHUM,2017,6:00,62,,69,69,86,83,91,87,92,77,72,67
Addis Ababa,2354,38.79871,8.981081,RELHUM,2017,9:00,39,,53,50,72,71,86,84,79,61,57,51
Addis Ababa,2354,38.79871,8.981081,RELHUM,2017,12:00,29,,41,41,56,56,73,76,69,50,47,40
Addis Ababa,2354,38.79871,8.981081,RELHUM,2017,15:00,25,,34,36,51,51,70,73,69,50,41,35
Addis Ababa,2354,38.79871,8.981081,RELHUM,2017,18:00,29,,41,39,59,55,80,76,77,54,45,40
Addis Ababa,2354,38.79871,8.981081,RELHUM,2018,6:00,,73,69,84,81,89,93,92,84,75,76,79
Addis Ababa,2354,38.79871,8.981081,RELHUM,2018,9:00,,55,58,69,66,78,85,86,69,59,59,58
Addis Ababa,2354,38.79871,8.981081,RELHUM,2018,12:00,,46,46,58,55,69,73,72,58,47,48,45
Addis Ababa,2354,38.79871,8.981081,RELHUM,2018,15:00,,42,40,53,51,68,68,71,56,42,44,40
Addis Ababa,2354,38.79871,8.981081,RELHUM,2018,18:00,,48,47,59,59,74,78,75,60,49,48,46
Addis Ababa,2354,38.79871,8.981081,RELHUM,2019,6:00,62,66,67,78,64,87,90,90,,80,78,77
Addis Ababa,2354,38.79871,8.981081,RELHUM,2019,9:00,42,52,56,62,54,75,83,83,,57,63,66
Addis Ababa,2354,38.79871,8.981081,RELHUM,2019,12:00,30,38,44,51,40,64,71,70,,49,50,48
Addis Ababa,2354,38.79871,8.981081,RELHUM,2019,15:00,27,31,35,44,40,63,69,70,,44,46,45
Addis Ababa,2354,38.79871,8.981081,RELHUM,2019,18:00,28,31,37,54,46,72,76,76,,56,56,54
Addis Ababa,2354,38.79871,8.981081,RELHUM,2020,6:00,,,71,77,81,86,90,91,84,73,65,70
Addis Ababa,2354,38.79871,8.981081,RELHUM,2020,9:00,64,,60,61,65,72,81,80,78,50,51,53
Addis Ababa,2354,38.79871,8.981081,RELHUM,2020,12:00,49,,46,48,50,59,,72,67,38,,41
Addis Ababa,2354,38.79871,8.981081,RELHUM,2020,15:00,,,41,48,49,63,67,70,65,38,32,37
Addis Ababa,2354,38.79871,8.981081,RELHUM,2020,18:00,48,,46,57,55,69,82,77,68,47,41,41
Addis Ababa,2354,38.79871,8.981081,RELHUM,2021,6:00,63,73,53,64,73,78,,93,95,,65,71
Addis Ababa,2354,38.79871,8.981081,RELHUM,2021,9:00,49,64,45,49,60,70,,80,81,,50,53
Addis Ababa,2354,38.79871,8.981081,RELHUM,2021,12:00,35,48,31,42,50,55,,70,72,,40,41
Addis Ababa,2354,38.79871,8.981081,RELHUM,2021,15:00,32,38,27,38,43,52,,72,68,,37,35
Addis Ababa,2354,38.79871,8.981081,RELHUM,2021,18:00,37,42,29,40,50,53,,76,78,,45,42
Addis Ababa,2354,38.79871,8.981081,RELHUM,2022,6:00,75,65,65,69,67,85,90,85,87,74,73,74
Addis Ababa,2354,38.79871,8.981081,RELHUM,2022,9:00,60,53,54,58,50,77,86,80,74,65,58,57
Addis Ababa,2354,38.79871,8.981081,RELHUM,2022,12:00,48,40,39,46,42,64,78,71,71,57,44,42
Addis Ababa,2354,38.79871,8.981081,RELHUM,2022,15:00,38,30,36,41,37,61,77,74,67,52,39,39
Addis Ababa,2354,38.79871,8.981081,RELHUM,2022,18:00,45,33,39,47,37,71,82,79,73,57,45,44
Addis Ababa,2354,38.79871,8.981081,RELHUM,2023,6:00,,59,86,,92,90,95,94,95,73,81,73
Addis Ababa,2354,38.79871,8.981081,RELHUM,2023,9:00,,48,73,,73,76,87,84,81,57,61,56
Addis Ababa,2354,38.79871,8.981081,RELHUM,2023,12:00,,32,57,,62,61,70,66,64,43,46,42
Addis Ababa,2354,38.79871,8.981081,RELHUM,2023,15:00,,28,51,,67,58,70,66,61,44,41,38
Addis Ababa,2354,38.79871,8.981081,RELHUM,2023,18:00,,27,59,,71,68,81,73,70,48,51,46
Addis Ababa,2354,38.79871,8.981081,RELHUM,2024,6:00,75,77,76,86,78,86,95,96,91,87,80,70
Addis Ababa,2354,38.79871,8.981081,RELHUM,2024,9:00,62,67,66,70,63,75,88,88,78,71,63,52
Addis Ababa,2354,38.79871,8.981081,RELHUM,2024,12:00,45,50,51,60,50,61,71,76,65,56,46,37
Addis Ababa,2354,38.79871,8.981081,RELHUM,2024,15:00,40,42,44,55,45,55,68,72,62,55,42,36
Addis Ababa,2354,38.79871,8.981081,RELHUM,2024,18:00,45,45,48,62,51,61,74,80,72,62,54,41
Addis Ababa,2354,38.79871,8.981081,RELHUM,2025,6:00,70,62,73,64,75,81,90,,,,,
Addis Ababa,2354,38.79871,8.981081,RELHUM,2025,9:00,55,48,61,49,63,69,83,,,,,
Addis Ababa,2354,38.79871,8.981081,RELHUM,2025,12:00,42,36,47,36,49,55,71,,,,,
Addis Ababa,2354,38.79871,8.981081,RELHUM,2025,15:00,34,29,43,35,46,51,69,,,,,
Addis Ababa,2354,38.79871,8.981081,RELHUM,2025,18:00,39,31,45,37,51,58,74,,,,,
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2017,18:00,10.1,8.5,8.8,8.1,6.3,6.4,3.3,3.6,5,7.9,9.4,10.2
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2018,18:00,8.7,8.3,7.1,4.6,7,4.6,4.3,3.8,7.9,8,8,9.7
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2019,18:00,10.5,10.1,8.4,6.5,8.9,4.9,3.4,2.9,3.2,8.9,8.5,7.8
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2020,18:00,8.9,8.6,7.6,7.3,7.8,5.9,2.8,3.9,4.9,8.8,9.8,10
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2021,18:00,9.5,8.4,9.1,6.7,8.4,7,,,4.9,8.4,10.1,10.5
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2022,18:00,9.3,10.1,9.1,8.1,9.5,,,3.3,4.4,8,9.9,9.5
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2023,18:00,10.3,9.7,5.4,6.5,5.8,6.5,3.9,5.2,5.3,8.4,9.1,9.8
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2024,18:00,9.4,7.8,7.5,6.3,8,6.1,3.8,3,5.7,6.4,9.8,10.6
Addis Ababa,2354,38.79871,8.981081,SUNHRS,2025,18:00,9.7,10.5,7.6,8.7,7.8,7.4,4,,,,,
Addis Ababa,2354,38.79871,8.981081,TMPMAX,2017,18:00,24.7,21.3,22.1,20.9,19.4,25.4,21.9,21.4,22,23.7,23.3,23
Addis Ababa,2354,38.79871,8.981081,TMPMAX,2018,18:00,23.5,24.9,25,24.2,24.7,22.3,21.4,21.1,23.1,23.8,23.5,23.7
