date,precip_mm,rel_humidity_pct,sun_hours,temp_max_C,temp_min_C,wind_speed
2017-01-01,0.0,36.8,10.1,24.7,6.4,
2017-02-01,13.6,,8.5,21.3,6.3,
2017-03-01,56.0,47.6,8.8,22.1,6.9,
2017-04-01,26.6,47.0,8.1,20.9,8.0,
2017-05-01,103.5,64.8,6.3,19.4,8.4,
2017-06-01,44.1,63.2,6.4,25.4,12.3,
2017-07-01,217.0,80.0,3.3,21.9,12.4,
2017-08-01,241.7,79.2,3.6,21.4,12.5,1.4
2017-09-01,260.5,77.2,5.0,22.0,12.0,1.6
2017-10-01,5.3,58.4,7.9,23.7,11.1,2.2
2017-11-01,0.0,52.4,9.4,23.3,9.2,2.4
2017-12-01,0.0,46.6,10.2,23.0,6.7,2.3
2018-01-01,0.0,,8.7,23.5,8.8,
2018-02-01,30.8,52.8,8.3,24.9,10.2,
2018-03-01,,52.0,7.1,25.0,11.8,
2018-04-01,145.7,64.6,4.6,24.2,12.8,
2018-05-01,87.1,62.4,7.0,24.7,12.5,
2018-06-01,198.1,75.6,4.6,22.3,12.3,
2018-07-01,259.0,79.4,4.3,21.4,11.6,
2018-08-01,352.8,79.2,3.8,21.1,11.9,
2018-09-01,53.5,65.4,7.9,23.1,12.0,
2018-10-01,51.5,54.4,8.0,23.8,11.1,
2018-11-01,5.2,55.0,8.0,23.5,9.7,
2018-12-01,0.0,53.6,9.7,23.7,9.2,
2019-01-01,0.0,37.8,10.5,25.2,8.2,
2019-02-01,0.0,43.6,10.1,26.3,12.3,
2019-03-01,51.9,47.8,8.4,27.0,13.4,
2019-04-01,109.0,57.8,6.5,26.2,13.9,
2019-05-01,72.4,48.8,8.9,26.6,13.6,
2019-06-01,,72.2,4.9,23.0,13.0,
2019-07-01,417.0,77.8,3.4,21.6,12.5,
2019-08-01,352.3,77.8,2.9,20.8,12.6,
2019-09-01,230.7,,3.2,21.3,12.7,
2019-10-01,10.2,57.2,8.9,23.2,11.2,
2019-11-01,35.2,58.6,8.5,23.4,11.1,
2019-12-01,0.0,58.0,7.8,23.1,9.8,
2020-01-01,3.2,53.666666666666664,8.9,24.2,10.5,
2020-02-01,3.5,,8.6,25.5,11.9,
2020-03-01,79.5,52.8,7.6,26.4,13.6,
2020-04-01,97.7,58.2,7.3,26.0,13.6,
2020-05-01,,60.0,7.8,24.8,13.2,
2020-06-01,186.4,69.8,5.9,23.2,12.0,
2020-07-01,354.2,80.0,2.8,20.6,12.2,
2020-08-01,,78.0,3.9,20.9,12.2,
2020-09-01,403.7,72.4,4.9,22.0,12.2,
2020-10-01,27.4,49.2,8.8,24.0,10.4,
2020-11-01,0.0,47.25,9.8,24.3,9.2,
2020-12-01,1.8,48.4,10.0,23.8,8.5,
2021-01-01,0.0,43.2,9.5,24.2,9.0,
2021-02-01,31.3,53.0,8.4,24.5,9.9,
2021-03-01,0.0,37.0,9.1,26.4,11.0,
2021-04-01,159.9,46.6,6.7,25.5,12.2,
2021-05-01,,55.2,8.4,25.3,12.4,
2021-06-01,,61.6,7.0,24.8,12.2,
2021-08-01,,78.2,,,,
2021-09-01,,78.8,4.9,22.0,11.6,
2021-10-01,29.0,,8.4,23.4,10.7,
2021-11-01,0.8,47.4,10.1,24.0,9.1,
2021-12-01,0.0,48.4,10.5,24.2,8.7,
2022-01-01,0.0,53.2,9.3,24.2,9.4,
2022-02-01,0.0,44.2,10.1,25.6,10.0,
2022-03-01,31.1,46.6,9.1,26.1,11.2,
2022-04-01,29.9,52.2,8.1,26.5,12.8,
2022-05-01,0.0,46.6,9.5,27.7,12.8,
2022-06-01,,71.6,,,,
2022-07-01,,82.6,,,,
2022-08-01,301.3,77.8,3.3,20.8,12.1,
2022-09-01,150.9,74.4,4.4,21.7,11.8,
2022-10-01,36.1,61.0,8.0,22.5,10.4,
2022-11-01,7.5,51.8,9.9,23.1,8.7,
2022-12-01,0.0,51.2,9.5,23.2,9.0,
2023-01-01,1.5,,10.3,23.8,8.4,
2023-02-01,1.8,38.8,9.7,25.3,9.7,
2023-03-01,184.0,65.2,5.4,23.3,11.7,
2023-04-01,188.5,,6.5,24.1,11.8,
2023-05-01,134.7,73.0,5.8,23.1,,
2023-06-01,138.3,70.6,6.5,23.2,13.1,
2023-07-01,267.4,80.6,3.9,21.7,13.2,
2023-08-01,239.3,76.6,5.2,21.9,13.2,
2023-09-01,219.7,74.2,5.3,22.5,12.2,
2023-10-01,4.2,53.0,8.4,24.2,12.4,
2023-11-01,10.0,56.0,9.1,23.6,11.1,
2023-12-01,0.0,51.0,9.8,24.0,10.6,
2024-01-01,0.0,53.4,9.4,24.7,11.2,
2024-02-01,109.9,56.2,7.8,25.3,12.8,
2024-03-01,70.6,57.0,7.5,25.3,13.6,
2024-04-01,170.5,66.6,6.3,24.9,13.9,
2024-05-01,31.1,57.4,8.0,26.2,14.1,
2024-06-01,138.3,67.6,6.1,24.6,13.6,
2024-07-01,208.7,79.2,3.8,21.8,13.5,
2024-08-01,192.6,82.4,3.0,20.8,13.5,
2024-09-01,166.7,73.6,5.7,22.5,13.0,
2024-10-01,64.0,66.2,6.4,22.7,13.0,
2024-11-01,3.4,57.0,9.8,23.5,10.3,
2024-12-01,0.0,47.2,10.6,23.6,9.1,
2025-01-01,0.0,48.0,9.7,24.0,10.0,
2025-02-01,0.0,41.2,10.5,26.0,11.4,
2025-03-01,48.6,53.8,7.6,25.7,13.2,
2025-04-01,24.7,44.2,8.7,26.1,13.3,
2025-05-01,,56.8,7.8,25.8,13.9,
2025-06-01,88.4,62.8,7.4,24.5,12.9,
2025-07-01,270.9,77.4,4.0,21.5,12.8,
